key	FR	EN	DE
Histogram with SD Line	Histogramme avec ligne SD	Histogram with SD Line	Histogramm mit SD-Linie
Profile Line	Ligne de profil	Profile Line	Profil-Linie
Horizontal Bar	Barre horizontale	Horizontal Bar	Horizontaler Balken
Series is Nominal Data	Les séries sont des données nominales	Series is Nominal Data	Serie ist nominale Daten
Invert X-Axis	Inverser l'axe des X	Invert X-Axis	X-Achse invertieren
Add	Ajouter	Add	hinzufügen
close	fermer	close	schließen
Select Item to Plot	Sélectionner l'élément à tracer	Select Item to Plot	Zu plottendes Element auswählen
Configure Report Variables for	Configurer les variables du rapport pour	Configure Report Variables for	Berichtsvariablen konfigurieren für
Nominal Data	données nominales	Nominal Data	Nominale Daten
Histogram	Histogramme	Histogram	Histogramm
Histogram Point Labels	Étiquettes des points de l'histogramme	Histogram Point Labels	Histogramm Punkt Labels
Show 0 on X-Axis	Montrer 0 sur l'axe des X	Show 0 on X-Axis	0 auf der X-Achse anzeigen
Override auto bin size	Remplacer la taille du bac automatique	Override auto bin size	Automatische Bin-Größe außer Kraft setzen
SD Line	Ligne SD	SD Line	SD-Linie
Box and Whisker	Diagramme de quartiles	Box and Whisker	Box und Whisker
Hide Outliers	Cacher les valeurs aberrantes	Hide Outliers	Ausreißer ausblenden
Violin	Violon	Violin	Geige
Reverse X-Axis	Inverser l'axe des X	Reverse X-Axis	X-Achse umkehren
 Mean Profile	 Profil de la moyenne	 Mean Profile	 Mittleres Profil
Test Taker ID	ID du testeur	Test Taker ID	Testteilnehmer-ID
Test Taker Name	Nom du testeur	Test Taker Name	Name des Testteilnehmers
Login Password ID	Id de mot de passe login	Login Password ID	ID des Login Passwortes
Login Password Tag	Etiquette du mot de passe login	Login Password Tag	Etikett des Login Passwortes
Status	Statut	Status	Status
Score	Score	Score	Ergebnis
taker	preneur	taker	Teilnehmer
takers	preneurs	takers	Mitspieler
found	trouvé	found	gefunden
Edit Scores Manually	Modifier les scores manuellement	Edit Scores Manually	Ergebnisse manuell bearbeiten
TEST TAKERS WITH RESULTS LIST FOR 	LISTE DES PARTICIPANTS AUX TESTS AVEC RÉSULTATS POUR 	TEST TAKERS WITH RESULTS LIST FOR 	TESTTEILNEHMER MIT ERGEBNISLISTE FÜR
Test Taker List	Liste des participants au test	Test Taker List	Teilnehmer-Liste
Test Page List	Liste des pages de test	Test Page List	Testseiten-Liste
Test Taker Name / ID / Manual Scoring Status	Nom / ID du candidat / Statut de la notation manuelle	Test Taker Name / ID / Manual Scoring Status	Testteilnehmer Name / ID / Status der manuellen Auswertung
Password Tag	Etiquette du mot de passe	Password Tag	Passwort-Tag
Progress	Progression	Progress	Fortschritt
Last Connected	Dernière connexion	Last Connected	Zuletzt verbunden
Page Name/ID	Nom/ID de la page	Page Name/ID	Seitenname/ID
Page Code	Code de la page	Page Code	Code der Seite
Page Type	Type de page	Page Type	Art der Seite
TEST TAKERS WITH RESULTS FOR 	PARTICIPANTS AU TEST AVEC DES RÉSULTATS POUR 	TEST TAKERS WITH RESULTS FOR 	TESTTEILNEHMER MIT ERGEBNISSEN FÜR
TEST PAGE LIST FOR 	LISTE DES PAGES DE TEST POUR 	TEST PAGE LIST FOR 	TESTSEITENLISTE FÜR
PAGE	PAGE	PAGE	SEITE
TEST TAKER	PRENEUR DE TEST	TEST TAKER	TESTTEILNEHMER
PASSWORD ID	MOT DE PASSE ID	PASSWORD ID	PASSWORT ID
Manual Scoring Only	Notation manuelle uniquement	Manual Scoring Only	Nur manuelle Wertung
Reset Scoring	Réinitialiser le score	Reset Scoring	Bewertungen zurücksetzen
RESET CORRECTIONS FOR TEST TAKER	RÉINITIALISATION DES CORRECTIONS POUR LE CANDIDAT AU TEST	RESET CORRECTIONS FOR TEST TAKER	BEWERTUNGEN FÜR TESTTEILNEHMER ZURÜCKSETZEN
An auto-override reset will remove all custom corrections, and reset all auto-scored items back to their calculated values.	Une réinitialisation automatique supprimera toutes les corrections personnalisées et remettra toutes les questions notées automatiquement à leurs valeurs calculées.	An auto-override reset will remove all custom corrections, and reset all auto-scored items back to their calculated values.	Bei einer automatischen Rücksetzung werden alle benutzerdefinierten Bewertungen entfernt und alle automatisch bewerteten Elemente auf ihre berechneten Werte zurückgesetzt.
A manual reset will remove all manual scoring corrections, and reset all manual correction items to zero.	Une réinitialisation manuelle supprimera toutes les corrections de notation manuelle et remettra à zéro tous les éléments de correction manuelle.	A manual reset will remove all manual scoring corrections, and reset all manual correction items to zero.	Bei einer manuellen Rücksetzung werden alle manuellen Bewertungen zurückgesetzt.
Select correction reset scope:	Sélectionnez le champ de réinitialisation des corrections :	Select correction reset scope:	Wählen Sie den Korrekturrücksetzungsbereich:
Scoring attempt did not register. Please wait until page is fully loaded prior to scoring. You may try again now.	La tentative de notation n'a pas été enregistrée. Veuillez attendre que la page soit entièrement chargée avant de procéder à la notation. Vous pouvez réessayer maintenant.	Scoring attempt did not register. Please wait until page is fully loaded prior to scoring. You may try again now.	Der Wertungsversuch wurde nicht registriert. Bitte warten Sie, bis die Seite vollständig geladen ist, bevor Sie die Bewertung vornehmen. Sie können es jetzt erneut versuchen.
Error: 	Erreur : 	Error: 	Fehler:
"Keyboard &amp; Mouse Shortcut Guide"	Guide des raccourcis clavier et souris	"Keyboard &amp; Mouse Shortcut Guide"	Leitfaden für Tastatur- und Mauskürzel
Test/Test Taker Navigation	Navigation dans le test/les candidats	Test/Test Taker Navigation	Test/Testteilnehmer-Navigation
Move to next item in question/test taker list.	Aller à l'élément suivant dans la liste des questions/participants.	Move to next item in question/test taker list.	Zum nächsten Element in der Frage/Testteilnehmerliste wechseln.
Move to previous item in question/test taker list.	Aller à l'élément précédent dans la liste des questions/participants.	Move to previous item in question/test taker list.	Zum vorherigen Eintrag in der Frage/Testteilnehmerliste wechseln.
Move to next entry.	Aller à l'entrée suivante.	Move to next entry.	Zum nächsten Eintrag wechseln.
Move to previous entry.	Aller à l'entrée précédente.	Move to previous entry.	Zum vorherigen Eintrag wechseln.
Move up/down in question/test taker list when pointer is on<br>list or scoring area.	Déplacement vers le haut/bas dans la liste des questions/participants lorsque le pointeur est sur la liste ou la zone de notation.	Move up/down in question/test taker list when pointer is on<br>list or scoring area.	In der Fragen-/Testteilnehmerliste nach oben/unten gehen, wenn der Zeiger auf der Liste oder dem Bewertungsbereich steht.
Comments	Commentaires	Comments	Kommentare
Focus on comment field.	Concentrez-vous sur le champ de commentaire.	Focus on comment field.	Fokus auf das Kommentarfeld.
Save comment (when comment field has text).	Enregistrer le commentaire (lorsque le champ de commentaire contient du texte).	Save comment (when comment field has text).	Kommentar speichern (wenn das Kommentarfeld Text enthält).
Scoring	Notation	Scoring	Punktevergabe
Assign <em>n</em> points (decimals are allowed in increments of 0.5).	Attribuez <em>n</em> points (les décimales sont autorisées par incréments de 0,5).	Assign <em>n</em> points (decimals are allowed in increments of 0.5).	Vergeben Sie <em>n</em> Punkte (Dezimalzahlen sind in 0,5er-Schritten erlaubt).
Increment score value by 0.5	Incrémenter la valeur du score de 0,5	Increment score value by 0.5	Erhöhen des Punktwertes um 0,5
Decrement score value by 0.5	Diminuer la valeur du score par 0,5	Decrement score value by 0.5	Verringern des Punktwertes um 0,5
Test Page Navigation	Navigation dans la page de test	Test Page Navigation	Navigation auf der Testseite
Navigate leftward amongst items within a multi-question test page.	Naviguez vers la gauche parmi les éléments d'une page de test à plusieurs questions.	Navigate leftward amongst items within a multi-question test page.	Navigieren Sie innerhalb einer Testseite mit mehreren Fragen nach links durch die Elemente.
Navigate rightward amongst items within a multi-question test page.	Naviguez vers la droite parmi les éléments d'une page de test à plusieurs questions.	Navigate rightward amongst items within a multi-question test page.	Navigieren Sie innerhalb einer Testseite mit mehreren Fragen nach rechts durch die Aufgaben.
Scorer Login Name	Nom de connexion de l'évaluateur	Scorer Login Name	Scorer-Anmeldename
Scorer ID	Identifiant de l'évaluateur	Scorer ID	Bewerter-ID
Scoring Time	Temps d'évaluation	Scoring Time	Zeit der Bewertung
Score Given	Score donné	Score Given	Erreichte Punktzahl
Additional Scoring Information	Informations supplémentaires sur la notation	Additional Scoring Information	Zusätzliche Informationen zur Bewertung
manual scoring	notation manuelle	manual scoring	manuelle Wertung
auto-scored	notation automatique	auto-scored	automatische Bewertung
Automatic	Automatique	Automatic	Automatisch
Manual	Manuel	Manual	Manuell
Page:	Page :	Page:	Seite:
Test Taker:	Candidat au test :	Test Taker:	Testperson:
Password Id:	Mot de passe Id :	Password Id:	Kennwort-ID:
Test Name	Nom du test	Test Name	Test Name
Page Name	Nom de la page	Page Name	Name der Seite
Question Name	Nom de la question	Question Name	Name der Frage
Question Type	Type de question	Question Type	Fragetyp
Scoring Status	Statut de la notation	Scoring Status	Status der Bewertung
Test Taker	Testeur	Test Taker	Testteilnehmer
Password Id	Mot de passe	Password Id	Kennwort
Remaining Manual Corrections	Éléments manuelles restantes	Remaining Manual Items	Verbleibende manuelle Bewertungen
Total Points	Total des points	Total Points	Gesamtpunkte
SCORING:	SCORING :	SCORING:	WERTUNG:
Comment sucessfully added!	Commentaire ajouté avec succès !	Comment sucessfully added!	Kommentar erfolgreich hinzugefügt!
Keyboard Help	Aide clavier	Keyboard Help	Tastatur-Hilfe
Toggle Fullscreen Mode	Activer le mode plein écran	Toggle Fullscreen Mode	Vollbildmodus umschalten
Score sucessfully recorded!	Score enregistré avec succès !	Score sucessfully recorded!	Punktestand erfolgreich erfasst!
This page contains one or more manual scoring items.	Cette page contient une ou plusieurs questions nécessitant une notation manuelle.	This page contains one or more manual scoring items.	Diese Seite enthält eine oder mehrere Fragen zur manuellen Bewertung.
Click for detailed scoring information about:	Cliquez pour obtenir des informations détaillées sur la notation :	Click for detailed scoring information about:	Klicken Sie hier, um detaillierte Informationen über die Bewertung zu erhalten:
Non-submitted test confirmation	Confirmation de test non soumise	Non-submitted test confirmation	Bestätigung eines nicht abgegebenen Tests
Select how you would like to proceed	Sélectionnez la façon dont vous souhaitez procéder	Select how you would like to proceed	Wählen Sie aus, wie Sie fortfahren möchten
SCORING MODE (LOCKS OUT TEST TAKER!)	MODE DE NOTATION (BLOQUE LE CANDIDAT AU TEST !)	SCORING MODE (LOCKS OUT TEST TAKER!)	AUSWERTUNGSMODUS (SPERRT DEN TESTTEILNEHMER!)
READ-ONLY REVIEW MODE	MODE RÉVISION EN LECTURE SEULE	READ-ONLY REVIEW MODE	SCHREIBGESCHÜTZTER ÜBERPRÜFUNGSMODUS
"This test does not have any manual scoring pages. You may toggle the ""manual score only"" filter to view all pages and questions."	"Ce test ne comporte pas de pages de notation manuelle. Vous pouvez changer le filtre ""note manuelle uniquement"" pour afficher toutes les pages et questions."	"This test does not have any manual scoring pages. You may toggle the ""manual score only"" filter to view all pages and questions."	"Dieser Test hat keine manuell bewerteten Seiten. Sie können den Filter ""Nur manuelle Bewertung"" umschalten, um alle Seiten und Fragen anzuzeigen."
"This test page does not have any manual scoring questions. You may navigate to other pages to determine if there are manual scoring entries, and/or toggle the ""manual score only"" filter to view all pages and questions."	"Cette page de test ne contient pas de questions à notation manuelle. Vous pouvez naviguer vers d'autres pages pour déterminer s'il y a des entrées de notation manuelle, et/ou changer le filtre ""note manuelle uniquement"" pour afficher toutes les pages et questions."	"This test page does not have any manual scoring questions. You may navigate to other pages to determine if there are manual scoring entries, and/or toggle the ""manual score only"" filter to view all pages and questions."	"Diese Testseite enthält keine manuell bewerteten Fragen. Sie können zu anderen Seiten navigieren, um festzustellen, ob es Einträge für die manuelle Bewertung gibt, und/oder den Filter ""nur manuelle Bewertung"" umschalten, um alle Seiten und Fragen anzuzeigen."
Please note that an inconsistency has been detected between the answers given by this test taker and the current question structure.	Veuillez noter qu'une incohérence a été détectée entre les réponses données par ce candidat au test et la structure actuelle des questions.	Please note that an inconsistency has been detected between the answers given by this test taker and the current question structure.	Bitte beachten Sie, dass eine Inkonsistenz zwischen den Antworten dieses Testteilnehmers und der aktuellen Fragenstruktur festgestellt wurde.
This test page may have been modified after test taker responses were recorded.	Cette page de test peut avoir été modifiée après l'enregistrement des réponses du candidat.	This test page may have been modified after test taker responses were recorded.	Diese Testseite wurde möglicherweise geändert, nachdem die Antworten der Testteilnehmer aufgezeichnet wurden.
Too many recursions in redraw routine. Please contact Oasys development team.	Trop de récursions dans la routine de redécoupage. Veuillez contacter l'équipe de développement d'Oasys.	Too many recursions in redraw routine. Please contact Oasys development team.	Zu viele Rekursionen in der Redraw-Routine. Bitte kontaktieren Sie das Oasys-Entwicklungsteam.
import choice labels	Importation d'étiquettes de choix	import choice labels	Labels der Antworten importieren
import	import	import	importieren
import labels	importer des étiquettes	import labels	Labels importieren
add row	ajouter une ligne	add row	Zeile hinzufügen
add column	ajouter une colonne	add column	Spalte hinzufügen
import row labels	importer étiquettes de ligne	import row labels	Zeilenbeschriftungen importieren
import column labels	importer étiquettes de colonne	import column labels	Spaltenbeschriftungen importieren
Scoring Items Remaining Warning	Avertissement : éléments de notation restants	Scoring Items Remaining Warning	Verbleibende Bewertungen Warnung
Open Manual Scoring	Notation manuelle ouverte	Open Manual Scoring	Manuelle Bewertung öffnen
Open Given Concept Map Response	Ouvrir la carte conceptuelle du participant	Open Given Concept Map Response	Concept Map des Teilnehmers öffnen
Question Item Comment	Commentaire sur la correction de la question	Question Item Comment	Kommentar zur Bewertung der Aufgabe
Comment sucessfully removed!	Le commentaire a été supprimé avec succès !	Comment sucessfully removed!	Kommentar erfolgreich entfernt!
Save Comment	Enregistrer le commentaire	Save Comment	Kommentar speichern
Remove Comment	Supprimer le commentaire	Remove Comment	Kommentar entfernen
include in student report	inclus dans le rapport de l'étudiant.	inlude in student report	im Schülerbericht anzeigen
No Available Data	Aucune donnée disponible	No Available Data	Keine Daten vorhanden
Remaining Items	Éléments restantes	Remaining Items	Verbleibende Aufgaben
Please add at least the languages you use in your test.	Veuillez ajouter au moins les langues que vous utilisez dans votre test.	Please add at least the languages you use in your test.	Bitte fügen Sie mindestens die Sprachen hinzu, die Sie in Ihrem Test verwenden.
You are trying to remove a test page for which results have already been collected. These results will not be available anymore after deletion. Please confirm!	Vous essayez de supprimer une page de test pour laquelle des résultats ont déjà été collectés. Ces résultats ne seront plus disponibles après la suppression. Veuillez confirmer !	You are trying to remove a test page for which results have already been collected. These results will not be available anymore after deletion. Please confirm!	Sie versuchen, eine Testseite zu löschen, für die bereits Ergebnisse gesammelt wurden. Diese Ergebnisse werden nach dem Löschen nicht mehr verfügbar sein. Bitte bestätigen Sie!
Confirm deletion	Confirmer la suppression	Confirm deletion	Bestätigen Sie die Löschung
You are trying to remove a fluid block for which results have already been collected. These results will not be available anymore after deletion. Please confirm!	Vous essayez de supprimer un bloc fluide pour lequel des résultats ont déjà été collectés. Ces résultats ne seront plus disponibles après la suppression. Veuillez confirmer !	You are trying to remove a fluid block for which results have already been collected. These results will not be available anymore after deletion. Please confirm!	Sie versuchen, einen Fluid Block zu löschen, für den bereits Ergebnisse gesammelt wurden. Diese Ergebnisse werden nach dem Löschen nicht mehr verfügbar sein. Bitte bestätigen Sie!
switch language	changer de langue	switch language	Sprache wechseln
language	langue	language	Sprache
Image Library	Bibliothèque d'images	Image Library	Bild-Bibliothek
Audio Library	Bibliothèque audio	Audio Library	Audio-Bibliothek
Video Library	Bibliothèque video	Video Library	Video-Bibliothek
Insert media	Insérer les médias	Insert media	Medien einfügen
The page group you were trying to add a media file has been deleted by another user. Please close the page group!	Le groupe de pages auquel vous essayiez d'ajouter un fichier multimédia a été supprimé par un autre utilisateur. Veuillez fermer le groupe de pages !	The page group you were trying to add a media file has been deleted by another user. Please close the page group!	Die Seitengruppe, zu der Sie eine Mediendatei hinzufügen wollten, wurde von einem anderen Benutzer gelöscht. Bitte schließen Sie die Seitengruppe!
No destination specified. Please try again. If the problem persists, please call the administrator!	Aucune destination n'a été spécifiée. Veuillez réessayer. Si le problème persiste, veuillez appeler l'administrateur !	No destination specified. Please try again. If the problem persists, please call the administrator!	Kein Ziel angegeben. Bitte versuchen Sie es erneut. Wenn das Problem weiterhin besteht, wenden Sie sich bitte an den Administrator!
Something went wrong, please call the administrator!	Quelque chose semble ne pas fonctionner, veuillez appeler l’administrateur.	Something went wrong, please call the administrator!	Etwas ist schief gelaufen, bitte rufen Sie den Administrator an!
The uploaded file exceeds the upload_max_filesize directive in php.ini	Le fichier téléchargé dépasse la directive upload_max_filesize du php.ini.	The uploaded file exceeds the upload_max_filesize directive in php.ini	Die hochgeladene Datei überschreitet die Richtlinie upload_max_filesize in php.ini
The uploaded file exceeds the MAX_FILE_SIZE directive that was specified in the HTML form	Le fichier téléchargé dépasse la directive MAX_FILE_SIZE spécifiée dans le formulaire HTML.	The uploaded file exceeds the MAX_FILE_SIZE directive that was specified in the HTML form	Die hochgeladene Datei überschreitet die im HTML-Formular angegebene Richtlinie MAX_FILE_SIZE
The uploaded file was only partially uploaded	Le fichier téléchargé n'a été que partiellement téléchargé	The uploaded file was only partially uploaded	Die hochgeladene Datei wurde nur teilweise hochgeladen
No file was uploaded	Aucun fichier n'a été téléchargé	No file was uploaded	Es wurde keine Datei hochgeladen
Missing a temporary folder	Il manque un dossier temporaire	Missing a temporary folder	Fehlen eines temporären Ordners
Failed to write file to disk	Échec de l'écriture du fichier sur le disque	Failed to write file to disk	Datei konnte nicht auf die Festplatte geschrieben werden
File upload stopped by extension	Téléchargement de fichier arrêté par l'extension	File upload stopped by extension	Datei-Upload durch Erweiterung gestoppt
Unknown upload error	Erreur de téléchargement inconnue	Unknown upload error	Unbekannter Upload-Fehler
Your media file is broken or not supported. Please check the file and upload again!	Votre fichier multimédia est cassé ou n'est pas pris en charge. Veuillez vérifier le fichier et le télécharger à nouveau !	Your media file is broken or not supported. Please check the file and upload again!	Ihre Mediendatei ist defekt oder wird nicht unterstützt. Bitte überprüfen Sie die Datei und laden Sie sie erneut hoch!
A media file with the same name and type already exists in this page group!	Un fichier multimédia portant le même nom et le même type existe déjà dans ce groupe de pages !	A media file with the same name and type already exists in this page group!	Eine Mediendatei mit demselben Namen und Typ existiert bereits in dieser Seitengruppe!
The mediafile you are trying to select has been deleted by another user. The view will be refreshed.	Le fichier multimédia que vous essayez de sélectionner a été supprimé par un autre utilisateur. La vue va être actualisée.	The mediafile you are trying to select has been deleted by another user. The view will be refreshed.	Die Mediendatei, die Sie auszuwählen versuchen, wurde von einem anderen Benutzer gelöscht. Die Ansicht wird aktualisiert.
The mediafile you are trying to rename has been deleted by another user. The view will be refreshed.	Le fichier multimédia que vous essayez de renommer a été supprimé par un autre utilisateur. La vue va être actualisée.	The mediafile you are trying to rename has been deleted by another user. The view will be refreshed.	Die Mediendatei, die Sie umbenennen möchten, wurde von einem anderen Benutzer gelöscht. Die Ansicht wird aktualisiert.
A mediafile with that name and type does already exist. Try using another name.	Un fichier multimédia avec ce nom et ce type existe déjà. Essayez d'utiliser un autre nom.	A mediafile with that name and type does already exist. Try using another name.	Eine Mediendatei mit diesem Namen und Typ ist bereits vorhanden. Versuchen Sie es mit einem anderen Namen.
Bad data.	Mauvaises données.	Bad data.	Fehlerhafte Daten.
This test is in submitted status, and you may begin (or continue) scoring.	Ce test est en statut soumis, et vous pouvez commencer (ou continuer) la notation.	This test is in submitted status, and you may begin (or continue) scoring.	"Der Test befindet sich im Status ""eingereicht"", und Sie können mit der Bewertung beginnen (oder fortfahren)."
This test has {$curTL} minutes remaining, and has not been submitted!	Ce test a {$curTL} minutes restantes, et n'a pas été soumis !	This test has {$curTL} minutes remaining, and has not been submitted!	Dieser Test hat noch {$curTL} Minuten übrig und wurde noch nicht beendet!
This test does not have a time limit, and has not been submitted!	Ce test n'a pas de limite de temps, et n'a pas été soumis !	This test does not have a time limit, and has not been submitted!	Dieser Test hat kein Zeitlimit und wurde noch nicht eingereicht!
Cannot score an open test!	Impossible d'obtenir un test ouvert !	Cannot score an open test!	Offener Test kann nicht korrigiert werden!
Server was unable to record score! The test page will now be reloaded. You may try scoring again.	Le serveur n'a pas pu enregistrer le score ! La page de test va maintenant être rechargée. Vous pouvez réessayer d’attribuer des points.	Server was unable to record score! The test page will now be reloaded. You may try scoring again.	Der Server konnte das Ergebnis nicht aufzeichnen! Die Testseite wird nun neu geladen. Sie können erneut versuchen, eine Punktzahl zu vergeben.
- Adding automatic <strong>password(s)</strong>.	- Ajout de <strong>mot(s) mots de passe</strong> automatique(s).	- Adding automatic <strong>password(s)</strong>.	- Hinzufügen von automatischen <strong>Passwörtern</strong>.
- Adding manual <strong>password(s)</strong>.	- Ajout de <strong>mot(s) de passe</strong> Manuel(s).	- Adding manual <strong>password(s)</strong>.	- Manuelle(s) <strong>Passwort(er)</strong> hinzufügen.
- Deleting existing <strong>password(s)</strong>.	- Suppression du ou des <strong>mots de passe</strong> existants.	- Deleting existing <strong>password(s)</strong>.	- Vorhandene(s) <strong>Passwort(er)</strong> löschen.
- Saving specified <strong>override settings</strong>.	- Enregistrement des <strong>réglages de substitution</strong> spécifiés.	- Saving specified <strong>override settings</strong>.	- Speichern <strong>individueller Einstellungen</strong>.
- Saving specified <strong>meta tag(s)</strong>.	- Enregistrement de la ou des <strong> balises méta</strong> spécifiées.	- Saving specified <strong>meta tag(s)</strong>.	- Speichern des/der <strong>Meta-Tag(s)</strong>.
- Deleting existing <strong>meta tags</strong>.	- Suppression des <strong>balises meta</strong> existantes.	- Deleting existing <strong>meta tags</strong>.	- Löschen vorhandener <strong>Meta-Tags</strong>.
- Using same <strong>password(s)</strong> for all test takers.	- Utiliser le(s) même(s) <strong>mot(s) de passe</strong> pour tous les candidats au test.	- Using same <strong>password(s)</strong> for all test takers.	- Verwendung desselben <strong>Passworts/derselben Passwörter</strong> für alle Testteilnehmer.
- Assigning tests to the passwords as defined.	- Attribution de tests aux mots de passe tels que définis.	- Assigning tests to the passwords as defined.	- Zuweisung von Tests zu den festgelegten Passwörtern.
"The password <strong>"""	"Le mot de passe <strong>"""	"The password <strong>"""	"Das Passwort <strong>"""
"""</strong> does already exist for test taker <strong>"""	"""</strong> existe déjà pour le candidat au test <strong>"""	"""</strong> does already exist for test taker <strong>"""	"""</strong> exisitiert bereits für den Testteilnehmer <strong>"""
"""</strong>. Please check manually!"	"""</strong>. Veuillez vérifier manuellement !"	"""</strong>. Please check manually!"	"""</strong>. Bitte manuell prüfen!"
"The folder <strong>"""	"Le dossier <strong>"""	"The folder <strong>"""	"Der Ordner <strong>"""
"The test taker <strong>"""	"Le candidat au test <strong>"""	"The test taker <strong>"""	"Der Testteilnehmer <strong>"""
"""</strong> has been deleted by another user!"	"""</strong> a été supprimé par un autre utilisateur !"	"""</strong> has been deleted by another user!"	"""</strong> wurde von einem anderen Benutzer gelöscht!"
Page not found in database	Page non trouvée dans la base de données	Page not found in database	Seite nicht in der Datenbank gefunden
Connection to server was interrupted. Cannot save page!	La connexion au serveur a été interrompue. Impossible de sauvegarder la page !	Connection to server was interrupted. Cannot save page!	Die Verbindung zum Server wurde unterbrochen. Seite kann nicht gespeichert werden!
Bulk editing permissions only allowed for superadmins!	Les droits d'édition en masse ne sont autorisés que pour les superadministrateurs !	Bulk editing permissions only allowed for superadmins!	Gleichzeitige Bearbeitung von mehreren Ordnern nur für Superadmins erlaubt!
No scoring data found! This test will now be re-scored. Please try again.	Aucune donnée de notation trouvée ! Ce test va maintenant être à nouveau noté. Veuillez réessayer.	No scoring data found! This test will now be re-scored. Please try again.	Keine Bewertungen gefunden! Dieser Test wird jetzt neu bewertet. Bitte versuchen Sie es erneut.
This test does not contain any scoring data. Returning to the test selection screen.	Ce test ne contient pas de données de notation. Retour à l'écran de sélection du test.	This test does not contain any scoring data. Returning to the test selection screen.	Dieser Test enthält keine Bewertungen. Sie kehren zur Testauswahl zurück.
Test page has been removed! Returning to results manager. Please re-enter this test to continue scoring.	La page de test a été supprimée ! Retour au gestionnaire de résultats. Veuillez entrer à nouveau dans ce test pour continuer à noter les résultats.	Test page has been removed! Returning to results manager. Please re-enter this test to continue scoring.	Die Testseite wurde entfernt! Zurück zur Übersicht. Bitte öffnen Sie diesen Test erneut, um mit der Bewertung fortzufahren.
Concept Maps URL Not Configured	URL des schémas conceptuels non configurée	Concept Maps URL Not Configured	Concept Maps-URL nicht konfiguriert
Open Original Concept Map	Ouvrir le schéma conceptuelle originale	Open Original Concept Map	Vorgegebene Concept Map öffnen
Scoring complete	Notation complet	Scoring complete	Wertung abgeschlossen
Scoring not complete	Notation incomplète	Scoring not complete	Wertung unvollständig
Previous page	Page précédente	Previous page	Vorherige Seite
Next page	Page suivante	Next page	Nächste Seite
of	de	of	von
left to score:	encore à évaluer :	left to score:	noch zu bewerten:
browsing scoring selection for test	sélection des notations pour le test	browsing scoring selection for test	Bewertungsauswahl für den Test
MANUALLY SCORED	NOTATION MANUELLE	MANUALLY SCORED	MANUELL BEWERTET
REQUIRES MANUAL SCORING	NÉCESSITE UNE NOTATION MANUELLE	REQUIRES MANUAL SCORING	ERFORDERT MANUELLE BEWERTUNG
QUESTION:	QUESTION :	QUESTION:	FRAGE:
RESPONSE:	RÉPONSE :	RESPONSE:	ANTWORT:
A full reset will remove all manual and auto-score override corrections, and reset all items back to their original state.	Une réinitialisation complète supprimera toutes les notations manuelles et automatiques, et remettra tous les éléments dans leur état d'origine.	A full reset will remove all manual and auto-score override corrections, and reset all items back to their original state.	Bei einer vollständigen Rücksetzung werden alle manuellen und automatischen Überschreibungsbewertugen entfernt und alle Elemente in ihren ursprünglichen Zustand zurückgesetzt.
* Please note that this will also remove all comments from all items!	* Veuillez noter que cela supprimera également tous les commentaires de tous les articles !	* Please note that this will also remove all comments from all items!	* Bitte beachten Sie, dass dadurch auch alle Kommentare von allen Aufgaben entfernt werden!
All corrections and comments	Toutes les notations et commentaires	All corrections and comments	Alle Bewertungen und Kommentare
Only auto-override corrections	Uniquement des notations automatiques modifiées	Only auto-override corrections	Nur geänderte automatische Bewertungen
Only manual corrections	Seulement des notations manuelles	Only manual corrections	Nur manuelle Bewertungen
Interactions	Interactions	Interactions	Interaktionen
editing interaction	édition d’interaction	editing interaction	Interaktion bearbeiten
max score overridden!	score maximum remplacé	max score overridden!	max. Punktzahl überschrieben!
AUTOSCORED	MARQUAGE AUTOMATIQUE	AUTOSCORED	AUTOMATISCH BEWERTET
AUTOSCORE OVERRIDDEN	MARQUAGE AUTOMATIQUE REMPLACÉ	AUTOSCORE OVERRIDDEN	AUTO BEWERTUNG ÜBERSCHRIEBEN
Correction key	Clef de correction	Correction key	Korrekturschlüssel
filter_o	Filtre propriétaire	Filter owners	Filter Eigentümer
filter_u	Filtre groupes d'utilisateurs	Filter usergroups	Filter Benutzergruppen
Select owner, or leave to preserve originals	Choisissez un nouveau propriétaire ou laissez-le vide	Select owner, or leave to preserve originals	Neuen Eigentümer wählen oder leer lassen
Creation of directory failed:	La création du répertoire a échoué :	Creation of directory failed:	Erstellung des Verzeichnisses fehlgeschlagen:
Error moving file into media folder	Erreur lors du déplacement d'un fichier dans le dossier média	Error moving file into media folder	Fehler beim Verschieben der Datei in den Medienordner
The page group you were working in has been deleted by another user. Please close the page group!	Le groupe de pages dans lequel vous travailliez a été supprimé par un autre utilisateur. Veuillez fermer le groupe de pages !	The page group you were working in has been deleted by another user. Please close the page group!	Die Seitengruppe, in der Sie gearbeitet haben, wurde von einem anderen Benutzer gelöscht. Bitte schließen Sie die Seitengruppe!
label position	position de l'étiquette	label position	Position des Labels
above	au-dessus	above	oberhalb
below	en dessous	below	unterhalb
show only label	Afficher uniquement l'étiquette	show only label	nur Label anzeigen
alignment	alignement	alignment	Ausrichtung
The slider cannot be rendered	Le slider ne peut pas être affiché	The slider cannot be rendered	Der Schieberegler kann nicht dargestellt werden
